Row,location,Extent_meters,VBRICH,VBRICH_Grass,VBRICH_Nongrass,VBRICH_unknown,Noncrop_perc,Noncrop_m2,Texture_Dis,Texture_Var
1,Allee ISRF 1,100,13,8,3,2,28.5541,897053.5079,0.117087558,0.086070467
2,Allee ISRF 1,1000,13,8,3,2,10.9464,34389129.82,0.214324406,0.43105588
3,Allee ISRF 1,200,13,8,3,2,18.3901,2310968.122,0.12785099,0.158447448
4,Allee ISRF 1,300,13,8,3,2,19.1481,5413997.726,0.236763237,0.258663049
5,Allee ISRF 1,400,13,8,3,2,16.1216,8103600.02,0.21619825,0.400262571
6,Allee ISRF 1,500,13,8,3,2,12.9862,10199337.63,0.187438985,0.429597735
7,Allee ISRF 1,600,13,8,3,2,12.3857,14007896.69,0.213286344,0.377237664
8,Allee ISRF 1,700,13,8,3,2,12.464,19186837.31,0.22224509,0.406186471
9,Allee ISRF 1,800,13,8,3,2,11.2322,22583678.08,0.228126222,0.402298661
10,Allee ISRF 1,900,13,8,3,2,10.8665,27651874.42,0.214249842,0.426707662
11,Collaborator 7,100,12,8,4,0,3.7183,116813.8396,0.681022556,0.372086163
12,Collaborator 7,1000,12,8,4,0,6.9718,21902555.66,0.226153684,0.422324007
13,Collaborator 7,200,12,8,4,0,2.2041,276975.3747,0.4825,0.471423632
14,Collaborator 7,300,12,8,4,0,2.1817,616861.1423,0.304735135,0.279894521
15,Collaborator 7,400,12,8,4,0,4.0173,2019315.227,0.230948082,0.143104347
16,Collaborator 7,500,12,8,4,0,4.0157,3153923.405,0.234461302,0.181910722
17,Collaborator 7,600,12,8,4,0,3.7437,4234024.95,0.240164332,0.239207882
18,Collaborator 7,700,12,8,4,0,3.8993,6002505.995,0.183284605,0.324392195
19,Collaborator 7,800,12,8,4,0,4.7717,9594072.106,0.242910833,0.339673718
20,Collaborator 7,900,12,8,4,0,6.6452,16909974.32,0.211421703,0.385309337
21,Collaborator 8,100,7,6,1,0,8.1972,257522.633,0.591567568,0.287360269
22,Collaborator 8,1000,7,6,1,0,13.8461,43498806.04,0.209770868,0.495704053
23,Collaborator 8,200,7,6,1,0,4.5537,572234.8187,0.574930362,0.314738457
24,Collaborator 8,300,7,6,1,0,3.2924,930904.1687,0.488571429,0.283153296
25,Collaborator 8,400,7,6,1,0,4.9517,2488995.895,0.292733068,0.198745028
26,Collaborator 8,500,7,6,1,0,8.3238,6537497.232,0.238365934,0.353078073
27,Collaborator 8,600,7,6,1,0,11.9458,13510381.51,0.247326821,0.487475376
28,Collaborator 8,700,7,6,1,0,14.1841,21834725.54,0.247209548,0.511678731
29,Collaborator 8,800,7,6,1,0,14.0989,28347520.42,0.246489601,0.490013204
30,Collaborator 8,900,7,6,1,0,14.5085,36919635.58,0.224257324,0.491030922
31,Collaborator 9,100,8,7,1,0,60.1878,1890855.503,0.178397319,0.679809927
32,Collaborator 9,1000,8,7,1,0,8.8086,27673033.05,0.199324424,0.489014464
33,Collaborator 9,200,8,7,1,0,24.7391,3108806.993,0.297473684,0.479898893
34,Collaborator 9,300,8,7,1,0,14.853,4199586.812,0.217059762,0.438003936
35,Collaborator 9,400,8,7,1,0,10.9776,5517943.602,0.239781563,0.470012856
36,Collaborator 9,500,8,7,1,0,11.6515,9151066.701,0.257031023,0.486777046
37,Collaborator 9,600,8,7,1,0,10.5072,11883363.24,0.259898139,0.508739045
38,Collaborator 9,700,8,7,1,0,9.0369,13911226.74,0.223811892,0.606696065
39,Collaborator 9,800,8,7,1,0,8.6411,17373962.42,0.220751827,0.553341464
